"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"2564",35,1225,0,1,4,1,9,0,1,0,1,244.672200530728,1,245,60,954119.666666667,954119.666666667,954119.666666667,0,5,2,0,98,1,96,954119.6875,3710.46533203125,NA,3038.16333007812,954119.6875,3710.46533203125
"2565",50,2500,1,1,6,4,2,0,1,1,4,236.969109175124,1,237,48,1e+06,5e+06,1e+06,0,7,2,1,57,1,60,NA,NA,NA,NA,1e+06,4861.111328125
"2566",44,1936,0,1,6,1,13,0,1,0,4,276.892437247484,1,277,40,8166666.66666667,8466666.66666667,7166666.66666667,1e+06,7,2,0,13,1,180,8166666.5,39699.07421875,1e+06,35000,8166666.5,39699.07421875
"2567",41,1681,1,1,6,4,5,0,1,1,4,276.892437247484,1,277,25,5e+05,1466666.66666667,5e+05,0,7,2,1,59,2,1,NA,NA,NA,NA,5e+05,2916.66674804688
"2568",43,1849,0,1,6,1,5,0,1,0,4,259.447568904764,1,259,48,6800000,6800000,6800000,0,7,2,0,39,1,130,6800000,33055.5546875,NA,33055.5546875,6800000,33055.5546875
"2569",33,1089,1,1,6,1,9,0,1,0,4,259.447568904764,1,259,40,8200000,8200000,8200000,0,7,2,0,21,2,36,8200000,47833.33203125,NA,47833.33203125,8200000,47833.33203125
"2570",64,4096,0,1,6,5,8,0,1,0,4,252.319897189289,1,252,40,8e+06,8e+06,8e+06,0,7,2,0,21,1,168,NA,NA,NA,NA,8e+06,46666.66796875
"2571",26,676,0,1,5,1,11,1,1,0,1,237.544756657912,1,238,48,899053,899053,899053,0,6,2,0,39,1,6,899053,4370.396484375,NA,3797.7041015625,899053,4370.396484375
"2572",27,729,0,1,5,1,11,1,2,0,1,217.917787388992,0,218,48,1300000,1300000,1300000,0,6,2,0,90,1,2,1300000,6319.4443359375,NA,6319.4443359375,1300000,6319.4443359375
"2573",20,400,0,1,5,1,11,1,2,0,1,217.917787388992,0,218,48,7e+05,7e+05,7e+05,0,6,2,1,98,5,2,7e+05,3402.77783203125,NA,3402.77783203125,7e+05,3402.77783203125
"2574",60,3600,0,1,3,1,5,0,1,0,1,258.33500212142,1,258,48,1251544.33333333,1601544.33333333,1251544.33333333,0,4,2,0,58,1,252,1251544.375,6083.896484375,NA,5347.22216796875,1251544.375,6083.896484375
"2575",26,676,1,1,6,1,2,0,1,0,1,258.33500212142,1,258,40,869453,869453,869453,0,7,2,0,3,3,15,869453,5071.80908203125,NA,4557.2451171875,869453,5071.80908203125
"2576",31,961,1,1,6,1,3,0,1,0,1,258.33500212142,1,258,36,899053,1315719.66666667,899053,0,7,2,0,59,3,72,899053,5827.1953125,NA,5063.60546875,899053,5827.1953125
"2577",31,961,0,1,6,1,4,0,1,0,4,263.549709140046,1,264,48,6458333.33333333,6458333.33333333,6458333.33333333,0,7,2,0,70,1,36,6458333.5,31394.67578125,NA,30138.888671875,6458333.5,31394.67578125
"2578",48,2304,0,1,4,1,9,0,1,0,1,215.752897120541,1,216,48,1310877.66666667,1310877.66666667,1310877.66666667,0,5,2,0,58,1,72,1310877.625,6372.32177734375,NA,5590.27783203125,1310877.625,6372.32177734375
"2579",46,2116,1,1,4,1,6,0,1,0,1,215.752897120541,1,216,48,900853,1400853,900853,0,5,2,0,55,2,10,900853,4379.146484375,NA,3797.7041015625,900853,4379.146484375
"2580",23,529,0,1,4,4,9,0,2,1,1,215.752897120541,0,216,48,8e+05,8e+05,8e+05,0,5,2,1,98,3,36,NA,NA,NA,NA,8e+05,3888.88891601562
"2581",68,4624,0,1,1,4,0,0,2,1,1,257.896673473791,0,258,72,4e+05,4e+05,4e+05,0,1,2,1,45,1,480,NA,NA,NA,NA,4e+05,1296.29626464844
